c i 1-D powers of two
Problem: ic15x15x15, setup: 29.67 ms, time: 197.94 us, ``mflops'': 999.24
Problem: ic24x25x28, setup: 105.74 ms, time: 2.45 ms, ``mflops'': 480.55
Problem: ic48x48x48, setup: 401.87 ms, time: 15.11 ms, ``mflops'': 613.12
Problem: ic49x49x49, setup: 441.07 ms, time: 23.99 ms, ``mflops'': 412.96
Problem: ic60x60x60, setup: 802.71 ms, time: 38.10 ms, ``mflops'': 502.37
Problem: ic72x60x56, setup: 746.42 ms, time: 53.66 ms, ``mflops'': 403.11
Problem: ic75x75x75, setup: 1.11 s, time: 103.66 ms, ``mflops'': 380.23
Problem: ic80x80x80, setup: 1.49 s, time: 110.04 ms, ``mflops'': 441.21
Problem: ic84x84x84, setup: 1.70 s, time: 153.00 ms, ``mflops'': 371.46
Problem: ic96x96x96, setup: 2.67 s, time: 193.26 ms, ``mflops'': 452.19
Problem: ic100x100x100, setup: 2.73 s, time: 222.29 ms, ``mflops'': 448.33
Problem: ic105x105x105, setup: 3.22 s, time: 320.55 ms, ``mflops'': 363.71
Problem: ic112x112x112, setup: 4.13 s, time: 342.74 ms, ``mflops'': 418.56
Problem: ic120x120x120, setup: 6.01 s, time: 376.72 ms, ``mflops'': 475.23
c o 3-D non-powers of two
Problem: oc5x5x5, setup: 6.90 ms, time: 7.20 us, ``mflops'': 604.73
Problem: oc6x6x6, setup: 7.69 ms, time: 9.24 us, ``mflops'': 906.3
Problem: oc7x7x7, setup: 8.52 ms, time: 22.60 us, ``mflops'': 639.23
Problem: oc9x9x9, setup: 12.24 ms, time: 55.92 us, ``mflops'': 619.85
Problem: oc10x10x10, setup: 13.80 ms, time: 51.51 us, ``mflops'': 967.33
Problem: oc11x11x11, setup: 20.70 ms, time: 143.33 us, ``mflops'': 481.88
Problem: oc12x12x12, setup: 17.61 ms, time: 79.18 us, ``mflops'': 1173.6
Problem: oc13x13x13, setup: 24.85 ms, time: 170.75 us, ``mflops'': 714.19
Problem: oc14x14x14, setup: 29.88 ms, time: 226.55 us, ``mflops'': 691.74
Problem: oc15x15x15, setup: 28.85 ms, time: 205.09 us, ``mflops'': 964.37
Problem: oc24x25x28, setup: 97.99 ms, time: 2.35 ms, ``mflops'': 501.64
Problem: oc48x48x48, setup: 391.01 ms, time: 18.56 ms, ``mflops'': 499.21
Problem: oc49x49x49, setup: 420.95 ms, time: 28.66 ms, ``mflops'': 345.68
Problem: oc60x60x60, setup: 777.00 ms, time: 42.98 ms, ``mflops'': 445.27
Problem: oc72x60x56, setup: 738.72 ms, time: 57.36 ms, ``mflops'': 377.15
Problem: oc75x75x75, setup: 1.10 s, time: 107.63 ms, ``mflops'': 366.21
Problem: oc80x80x80, setup: 1.49 s, time: 114.17 ms, ``mflops'': 425.28
Problem: oc84x84x84, setup: 1.69 s, time: 158.82 ms, ``mflops'': 357.82
Problem: oc96x96x96, setup: 2.65 s, time: 200.89 ms, ``mflops'': 435.01
Problem: oc100x100x100, setup: 2.70 s, time: 226.47 ms, ``mflops'': 440.05
Problem: oc105x105x105, setup: 3.20 s, time: 328.70 ms, ``mflops'': 354.7
Problem: oc112x112x112, setup: 4.12 s, time: 354.43 ms, ``mflops'': 404.75
Problem: oc120x120x120, setup: 5.99 s, time: 390.73 ms, ``mflops'': 458.19
r i 1-D powers of two
Problem: ir2, setup: 549.00 us, time: 82.67 ns, ``mflops'': 60.48
Problem: ir4, setup: 550.00 us, time: 106.43 ns, ``mflops'': 187.92
Problem: ir8, setup: 549.00 us, time: 153.70 ns, ``mflops'': 390.37
Problem: ir16, setup: 610.00 us, time: 254.32 ns, ``mflops'': 629.13
Problem: ir32, setup: 11.90 ms, time: 635.31 ns, ``mflops'': 629.61
Problem: ir64, setup: 28.91 ms, time: 1.58 us, ``mflops'': 606.21
