c i 1-D powers of two
Problem: or15, setup: 61.00 us, time: 377.29 ns, ``mflops'': 388.32
Problem: or18, setup: 1.37 ms, time: 808.53 ns, ``mflops'': 232.08
Problem: or24, setup: 4.37 ms, time: 776.86 ns, ``mflops'': 354.12
Problem: or36, setup: 5.65 ms, time: 1.30 us, ``mflops'': 356.8
Problem: or80, setup: 23.05 ms, time: 3.14 us, ``mflops'': 403.03
Problem: or108, setup: 13.34 ms, time: 5.81 us, ``mflops'': 313.78
Problem: or210, setup: 9.92 ms, time: 11.74 us, ``mflops'': 344.85
Problem: or504, setup: 47.77 ms, time: 31.06 us, ``mflops'': 364.17
Problem: or1000, setup: 54.85 ms, time: 63.55 us, ``mflops'': 392.04
Problem: or1960, setup: 60.28 ms, time: 164.06 us, ``mflops'': 326.64
Problem: or4725, setup: 63.64 ms, time: 490.28 us, ``mflops'': 294.09
Problem: or10368, setup: 316.63 ms, time: 896.62 us, ``mflops'': 385.63
Problem: or27000, setup: 446.41 ms, time: 3.00 ms, ``mflops'': 331.35
Problem: or75600, setup: 1.12 s, time: 18.44 ms, ``mflops'': 166.13
Problem: or165375, setup: 214.83 ms, time: 65.69 ms, ``mflops'': 109.11
Problem: or362880, setup: 2.57 s, time: 138.82 ms, ``mflops'': 120.69
Problem: or1562500, setup: 414.06 ms, time: 838.92 ms, ``mflops'': 95.805
r i 2-D powers of two
Problem: ir4x4, setup: 1.22 ms, time: 431.27 ns, ``mflops'': 370.99
Problem: ir8x4, setup: 1.25 ms, time: 853.27 ns, ``mflops'': 468.78
Problem: ir4x8, setup: 1.59 ms, time: 711.67 ns, ``mflops'': 562.06
