c i 1-D powers of two
Problem: oc80x80x80, setup: 2.30 s, time: 127.78 ms, ``mflops'': 379.97
Problem: oc84x84x84, setup: 2.75 s, time: 178.23 ms, ``mflops'': 318.87
Problem: oc96x96x96, setup: 3.85 s, time: 223.30 ms, ``mflops'': 391.35
Problem: oc100x100x100, setup: 4.31 s, time: 270.63 ms, ``mflops'': 368.24
Problem: oc105x105x105, setup: 4.98 s, time: 362.22 ms, ``mflops'': 321.87
Problem: oc112x112x112, setup: 6.13 s, time: 439.19 ms, ``mflops'': 326.64
Problem: oc120x120x120, setup: 7.38 s, time: 483.77 ms, ``mflops'': 370.06
r i 1-D powers of two
Problem: ir2, setup: 1.40 ms, time: 152.50 ns, ``mflops'': 32.786
Problem: ir4, setup: 1.43 ms, time: 256.58 ns, ``mflops'': 77.949
Problem: ir8, setup: 1.46 ms, time: 569.98 ns, ``mflops'': 105.27
Problem: ir16, setup: 1.56 ms, time: 1.12 us, ``mflops'': 142.69
Problem: ir32, setup: 28.87 ms, time: 1.43 us, ``mflops'': 279.61
Problem: ir64, setup: 71.56 ms, time: 2.81 us, ``mflops'': 341.78
Problem: ir128, setup: 140.47 ms, time: 5.66 us, ``mflops'': 395.61
Problem: ir256, setup: 303.01 ms, time: 11.42 us, ``mflops'': 448.53
Problem: ir512, setup: 524.00 ms, time: 23.66 us, ``mflops'': 486.81
Problem: ir1024, setup: 1.03 s, time: 42.56 us, ``mflops'': 601.52
Problem: ir2048, setup: 2.04 s, time: 89.65 us, ``mflops'': 628.23
Problem: ir4096, setup: 3.90 s, time: 192.17 us, ``mflops'': 639.43
Problem: ir8192, setup: 7.76 s, time: 408.19 us, ``mflops'': 652.25
Problem: ir16384, setup: 15.38 s, time: 1.02 ms, ``mflops'': 562.99
Problem: ir32768, setup: 33.32 s, time: 2.63 ms, ``mflops'': 466.87
Problem: ir65536, setup: 71.19 s, time: 6.45 ms, ``mflops'': 406.14
Problem: ir131072, setup: 112.88 s, time: 15.35 ms, ``mflops'': 362.9
Problem: ir262144, setup: 60.20 s, time: 34.09 ms, ``mflops'': 346.05
Problem: ir524288, setup: 148.62 s, time: 86.76 ms, ``mflops'': 287.03
Problem: ir1048576, setup: 103.28 s, time: 182.22 ms, ``mflops'': 287.72
Problem: ir2097152, setup: 217.19 s, time: 391.61 ms, ``mflops'': 281.15
r o 1-D powers of two
Problem: or2, setup: 122.00 us, time: 159.71 ns, ``mflops'': 31.306
Problem: or4, setup: 122.00 us, time: 249.13 ns, ``mflops'': 80.279
Problem: or8, setup: 123.00 us, time: 547.61 ns, ``mflops'': 109.57
Problem: or16, setup: 122.00 us, time: 1.10 us, ``mflops'': 145.34
Problem: or32, setup: 8.27 ms, time: 1.67 us, ``mflops'': 239.67
Problem: or64, setup: 21.64 ms, time: 2.40 us, ``mflops'': 399.53
Problem: or128, setup: 55.63 ms, time: 4.66 us, ``mflops'': 480.27
Problem: or256, setup: 133.73 ms, time: 9.08 us, ``mflops'': 564.18
Problem: or512, setup: 233.98 ms, time: 18.89 us, ``mflops'': 609.7
Problem: or1024, setup: 467.08 ms, time: 40.41 us, ``mflops'': 633.44
Problem: or2048, setup: 892.80 ms, time: 83.69 us, ``mflops'': 672.98
Problem: or4096, setup: 1.79 s, time: 183.58 us, ``mflops'': 669.36
Problem: or8192, setup: 3.48 s, time: 388.16 us, ``mflops'': 685.91
Problem: or16384, setup: 7.09 s, time: 904.12 us, ``mflops'': 634.25
Problem: or32768, setup: 15.11 s, time: 3.11 ms, ``mflops'': 395.72
Problem: or65536, setup: 32.63 s, time: 7.84 ms, ``mflops'': 334.24
Problem: or131072, setup: 71.84 s, time: 15.32 ms, ``mflops'': 363.61
Problem: or262144, setup: 152.24 s, time: 35.22 ms, ``mflops'': 334.96
Problem: or524288, setup: 312.93 s, time: 74.77 ms, ``mflops'': 333.07
Problem: or1048576, setup: 523.87 s, time: 173.16 ms, ``mflops'': 302.78
Problem: or2097152, setup: 700.66 s, time: 390.14 ms, ``mflops'': 282.2
r i 1-D non-powers of two
Problem: ir6, setup: 1.46 ms, time: 425.60 ns, ``mflops'': 91.106
Problem: ir9, setup: 824.00 us, time: 1.01 us, ``mflops'': 70.779
Problem: ir12, setup: 1.56 ms, time: 828.92 ns, ``mflops'': 129.75
Problem: ir15, setup: 854.00 us, time: 1.30 us, ``mflops'': 112.36
Problem: ir18, setup: 28.93 ms, time: 964.84 ns, ``mflops'': 194.48
Problem: ir24, setup: 66.96 ms, time: 1.14 us, ``mflops'': 241.71
Problem: ir36, setup: 90.79 ms, time: 2.71 us, ``mflops'': 171.57
Problem: ir80, setup: 251.29 ms, time: 3.79 us, ``mflops'': 333.39
Problem: ir108, setup: 176.27 ms, time: 6.24 us, ``mflops'': 292.11
Problem: ir210, setup: 207.89 ms, time: 12.31 us, ``mflops'': 329.04
