c i 1-D powers of two
Problem: or27000, setup: 1579.61 s, time: 2.45 ms, ``mflops'': 405.74
Problem: or75600, setup: 3561.68 s, time: 11.17 ms, ``mflops'': 274.24
Problem: or165375, setup: 452.66 s, time: 119.02 ms, ``mflops'': 60.218
Problem: or362880, setup: 6925.85 s, time: 65.28 ms, ``mflops'': 256.67
Problem: or1562500, setup: 438.56 s, time: 324.71 ms, ``mflops'': 247.52
r i 2-D powers of two
Problem: ir4x4, setup: 6.17 s, time: 1.10 us, ``mflops'': 145.34
Problem: ir8x4, setup: 6.08 s, time: 2.04 us, ``mflops'': 195.93
Problem: ir4x8, setup: 9.04 s, time: 2.25 us, ``mflops'': 177.48
Problem: ir8x8, setup: 6.28 s, time: 4.28 us, ``mflops'': 224.08
Problem: ir16x16, setup: 9.34 s, time: 18.98 us, ``mflops'': 269.7
Problem: ir32x32, setup: 61.06 s, time: 59.01 us, ``mflops'': 433.81
Problem: ir64x64, setup: 119.16 s, time: 227.94 us, ``mflops'': 539.1
Problem: ir16x512, setup: 328.32 s, time: 402.44 us, ``mflops'': 661.57
Problem: ir128x64, setup: 160.56 s, time: 471.09 us, ``mflops'': 565.15
