c i 1-D powers of two
Problem: ir15, setup: 885.00 us, time: 1.46 us, ``mflops'': 100.07
Problem: ir18, setup: 29.05 ms, time: 1.02 us, ``mflops'': 183.16
Problem: ir24, setup: 67.66 ms, time: 1.13 us, ``mflops'': 243.71
Problem: ir36, setup: 91.77 ms, time: 2.70 us, ``mflops'': 172.04
Problem: ir80, setup: 252.39 ms, time: 3.93 us, ``mflops'': 321.39
Problem: ir108, setup: 178.78 ms, time: 6.39 us, ``mflops'': 285.3
Problem: ir210, setup: 212.07 ms, time: 12.76 us, ``mflops'': 317.5
Problem: ir504, setup: 729.30 ms, time: 25.81 us, ``mflops'': 438.28
Problem: ir1000, setup: 1.26 s, time: 51.86 us, ``mflops'': 480.46
Problem: ir1960, setup: 1.78 s, time: 117.78 us, ``mflops'': 454.99
Problem: ir4725, setup: 849.14 ms, time: 2.10 ms, ``mflops'': 68.721
Problem: ir10368, setup: 16.78 s, time: 646.56 us, ``mflops'': 534.78
Problem: ir27000, setup: 49.08 s, time: 2.53 ms, ``mflops'': 393.48
Problem: ir75600, setup: 145.63 s, time: 10.19 ms, ``mflops'': 300.5
Problem: ir165375, setup: 39.90 s, time: 128.06 ms, ``mflops'': 55.969
Problem: ir362880, setup: 263.22 s, time: 68.97 ms, ``mflops'': 242.93
Problem: ir1562500, setup: 34.03 s, time: 395.06 ms, ``mflops'': 203.44
r o 1-D non-powers of two
Problem: or6, setup: 122.00 us, time: 447.05 ns, ``mflops'': 86.734
Problem: or9, setup: 122.00 us, time: 1.21 us, ``mflops'': 59.093
Problem: or12, setup: 123.00 us, time: 838.20 ns, ``mflops'': 128.31
Problem: or15, setup: 122.00 us, time: 1.45 us, ``mflops'': 100.84
Problem: or18, setup: 6.96 ms, time: 1.06 us, ``mflops'': 177.68
Problem: or24, setup: 22.67 ms, time: 1.13 us, ``mflops'': 243.71
Problem: or36, setup: 31.04 ms, time: 1.68 us, ``mflops'': 276.33
Problem: or80, setup: 129.34 ms, time: 3.07 us, ``mflops'': 411.91
Problem: or108, setup: 74.16 ms, time: 4.90 us, ``mflops'': 372.03
Problem: or210, setup: 59.66 ms, time: 11.47 us, ``mflops'': 352.98
Problem: or504, setup: 311.13 ms, time: 25.33 us, ``mflops'': 446.52
Problem: or1000, setup: 535.96 ms, time: 49.95 us, ``mflops'': 498.8
Problem: or1960, setup: 746.91 ms, time: 113.97 us, ``mflops'': 470.21
Problem: or4725, setup: 854.21 ms, time: 2.10 ms, ``mflops'': 68.721
Problem: or10368, setup: 7.76 s, time: 631.31 us, ``mflops'': 547.7
Problem: or27000, setup: 21.79 s, time: 2.68 ms, ``mflops'': 371.04
Problem: or75600, setup: 103.64 s, time: 11.87 ms, ``mflops'': 258.02
Problem: or165375, setup: 39.89 s, time: 128.18 ms, ``mflops'': 55.916
Problem: or362880, setup: 751.07 s, time: 69.06 ms, ``mflops'': 242.61
Problem: or1562500, setup: 216.43 s, time: 326.48 ms, ``mflops'': 246.18
r i 2-D powers of two
Problem: ir4x4, setup: 6.80 ms, time: 1.07 us, ``mflops'': 148.87
Problem: ir8x4, setup: 7.29 ms, time: 2.00 us, ``mflops'': 199.95
Problem: ir4x8, setup: 9.92 ms, time: 2.13 us, ``mflops'': 187.38
Problem: ir8x8, setup: 7.78 ms, time: 4.03 us, ``mflops'': 238.17
Problem: ir16x16, setup: 14.04 ms, time: 20.86 us, ``mflops'': 245.43
